Player,Age,Pos,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,Salary
Shai Gilgeous-Alexander,26,PG,76,34.2,32.7,5.0,6.4,1.7,1.0,0.519,0.375,35859950
Giannis Antetokounmpo,30,PF,67,34.2,30.4,11.9,6.5,0.9,1.2,0.601,0.222,48787676
Nikola Jokic,29,C,70,36.7,29.6,12.7,10.2,1.8,0.6,0.576,0.417,51415938
Luka Doncic,25,PG,50,35.4,28.2,8.2,7.7,1.8,0.4,0.45,0.368,43031940
Anthony Edwards,23,SG,79,36.3,27.6,5.7,4.5,1.2,0.6,0.447,0.395,42176400
Jayson Tatum,26,PF,72,36.4,26.8,8.7,6.0,1.1,0.5,0.452,0.343,34848340
Kevin Durant,36,PF,62,36.5,26.6,6.0,4.2,0.8,1.2,0.527,0.43,51179021
Tyrese Maxey,24,PG,52,37.7,26.3,3.3,6.1,1.8,0.4,0.437,0.337,35147000
Cade Cunningham,23,PG,70,35.0,26.1,6.1,9.1,1.0,0.8,0.469,0.356,13940809
Jalen Brunson,28,PG,65,35.4,26.0,2.9,7.3,0.9,0.1,0.488,0.383,24960001
Paolo Banchero,22,PF,46,34.4,25.9,7.5,4.8,0.8,0.6,0.452,0.32,12160800
Devin Booker,28,SG,75,37.3,25.6,4.1,7.1,0.9,0.2,0.461,0.332,49205800
LaMelo Ball,23,PG,47,32.0,25.2,4.9,7.4,1.1,0.3,0.405,0.339,35147000
Damian Lillard,34,PG,58,36.1,24.9,4.7,7.1,1.2,0.2,0.448,0.376,48787676
Anthony Davis,31,PF,51,33.5,24.7,11.6,3.5,1.2,2.2,0.516,0.282,43219440
Kyrie Irving,32,SG,50,36.1,24.7,4.8,4.6,1.3,0.5,0.473,0.401,41000000
Zion Williamson,24,PF,30,28.6,24.6,7.2,5.3,1.2,0.9,0.567,0.231,36725670
Stephen Curry,36,PG,70,32.2,24.5,4.4,6.0,1.1,0.4,0.448,0.397,55761216
LeBron James,40,SF,70,34.9,24.4,7.8,8.2,1.0,0.6,0.513,0.376,48728845
Karl-Anthony Towns,29,C,72,35.0,24.4,12.8,3.1,1.0,0.7,0.526,0.42,49205800
Victor Wembanyama,21,C,46,33.2,24.3,11.0,3.7,1.1,3.8,0.476,0.352,12768960
Franz Wagner,23,SF,60,33.7,24.2,5.7,4.7,1.3,0.4,0.463,0.295,7007092
Trae Young,26,PG,76,36.0,24.2,3.1,11.6,1.2,0.2,0.411,0.34,43031940
Donovan Mitchell,28,SG,71,31.4,24.0,4.5,5.0,1.3,0.2,0.443,0.368,35410310
Cam Thomas,23,SG,25,31.2,24.0,3.3,3.8,0.6,0.1,0.438,0.349,4041249
Tyler Herro,25,SG,77,35.4,23.9,5.2,5.5,0.9,0.2,0.472,0.375,29000000
Joel Embiid,30,C,19,30.2,23.8,8.2,4.5,0.7,0.9,0.444,0.299,51415938
De'Aaron Fox,27,PG,62,36.1,23.5,4.8,6.3,1.5,0.4,0.463,0.31,34848340
Zach LaVine,29,SF,74,35.2,23.3,4.3,4.2,0.8,0.2,0.511,0.446,44531940
Ja Morant,25,PG,50,30.4,23.2,4.1,7.3,1.2,0.2,0.454,0.309,36725670
James Harden,35,PG,79,35.3,22.8,5.8,8.7,1.5,0.7,0.41,0.352,33653846
Jaylen Brown,28,SF,63,34.3,22.2,5.8,4.5,1.2,0.3,0.463,0.324,49205800
DeMar DeRozan,35,SF,77,35.9,22.2,3.9,4.4,0.8,0.4,0.477,0.328,23400000
Brandon Ingram,27,SF,18,33.1,22.2,5.6,5.2,0.9,0.6,0.465,0.374,36016200
Jaren Jackson Jr.,25,C,74,29.8,22.2,5.6,2.0,1.2,1.5,0.488,0.375,25257798
Norman Powell,31,SG,60,32.6,21.8,3.2,2.1,1.2,0.2,0.484,0.418,19241379
Jalen Williams,23,SG,69,32.4,21.6,5.3,5.1,1.6,0.7,0.484,0.365,4775760
Kawhi Leonard,33,SF,37,31.9,21.5,5.9,3.1,1.6,0.5,0.498,0.411,49205800
Jamal Murray,27,PG,67,36.1,21.4,3.9,6.0,1.4,0.5,0.474,0.393,36016200
Trey Murphy III,24,SF,53,35.0,21.2,5.1,3.5,1.1,0.7,0.454,0.361,5159854
RJ Barrett,24,SF,58,32.2,21.1,6.3,5.4,0.8,0.3,0.468,0.35,25794643
CJ McCollum,33,PG,56,32.7,21.1,3.8,4.1,0.8,0.4,0.444,0.373,33333333
Jalen Green,22,SG,82,32.9,21.0,4.6,3.4,0.9,0.3,0.423,0.354,12483048
Brandon Miller,22,SF,27,34.2,21.0,4.9,3.6,1.1,0.7,0.403,0.355,11424600
